X,Y
-77.10800561,-12.02272451
-77.0736739,-11.9913067
-77.020256,-12.151049
-77.0353,-12.0611
-77.03776777,-12.04805794
-76.99571,-12.07273
-77.02418089,-12.19563935
-77.0353,-12.0611
-77.00310729,-12.08722632
-77.0833,-12.0333
-77.0124,-12.1813
-46.529129,-23.4597797
-77.0836004,-12.07609289
-77.01236537,-12.111677
-77.0345927,-12.08669578
-70.79471155,-33.3976038
-77.03978207,-12.11709358
-77.0644935,-11.98761282
-77.0353,-12.0611
-77.05260965,-12.09005702
-58.38187,-34.61217
-76.6971,-11.9358
-76.4667,-12.7333
-76.8954,-12.0243
-77.02251953,-12.14957806
-89.55639638,20.93428587
-77.030131,-12.120691
-77.034722,-12.099167
-77.0353,-12.0611
-77.0672,-12.0956
-77.03592747,-12.10714768
-77.0252843,-12.04783191
-44.2002158,-19.9686623
-77.0291,-12.1193
106.84824482,-6.55910538
-77.10800561,-12.02272451
-77.05235481,-12.11025335
-77.05235481,-12.11025335
-46.73615753,-23.6292208
-43.84679,-19.98832
-84.11677,40.74292
106.84824482,-6.55910538
-77.0223,-12.1395
-76.97540868,-12.08535186
-77.020256,-12.151049
